Tweet,Created_at,Cleaned_Tweet,Predicted_Sentiment
"@Chicago1Ray 👎 No, I trust donald trump to pick the best man. The american people chose #Trump to run the country, not some guy in Congress. We have to get through Trump's Americana First Agenda.",2025-01-05 12:24:54+00:00,no i trust donald trump to pick the best man the american people chose to run the country not some guy in congress we have to get through trumps americana first agenda,Positive
"@badazn Yes. What are the odds they all have jewish children or grandchildren? Donald Trump, Eva Vladingerbroek, Jared Taylor, Alex Jones etc all sleeps with jews. They point out all the problems but never ever, not even the slightest, mention jews in any way despite all examples https://t.co/ymHmEKisX7",2025-01-05 12:24:53+00:00,yes what are the odds they all have jewish children or grandchildren donald trump eva vladingerbroek jared taylor alex jones etc all sleeps with jews they point out all the problems but never ever not even the slightest mention jews in any way despite all examples,Positive
@indyfor45th47th @TRUMP_ARMY_ Martin Luther King would have been proud to share this day with Donald Trump,2025-01-05 12:24:50+00:00,martin luther king would have been proud to share this day with donald trump,Positive
@realTrumpNewsX Yes I would rather fund a great country like Ukraine than even pay for Donald Trump's inauguration because Donald Trump sucks no rapist belong in my house fing felon.,2025-01-05 12:24:50+00:00,yes i would rather fund a great country like ukraine than even pay for donald trumps inauguration because donald trump sucks no rapist belong in my house fing felon,Positive
"@bbclaurak @Nigel_Farage @ReformUK This is the party that has 5 MPs and a leader who kisses Donald Trump's and Elon Musk's arses. But yeah, let's treat them like they're a credible threat. 😂😂😂",2025-01-05 12:24:49+00:00,this is the party that has mps and a leader who kisses donald trumps and elon musks arses but yeah lets treat them like theyre a credible threat,Positive
"who has the highest social score on x
11 posts
25 web pages
Based on posts found on X, notable figures with high social scores include:

Barack Obama - 75/100
Andrew Tate - 73/100
Jordan Peterson - 70/100
Eric Weinstein - 68/100
Donald Trump - 65/100
Ben Shapiro - 65/100",2025-01-05 12:24:48+00:00,who has the highest social score on x posts web pages based on posts found on x notable figures with high social scores include barack obama andrew tate jordan peterson eric weinstein donald trump ben shapiro,Positive
Here comes Donald Trump’s criminal trial sentencing https://t.co/AD4rMp6f3f via @PalmerReport,2025-01-05 12:24:46+00:00,here comes donald trumps criminal trial sentencing via,Positive
@ElonMuskOde A Yes i love u Elon Musk and Donald Trump she is a good man,2025-01-05 12:24:45+00:00,a yes i love u elon musk and donald trump she is a good man,Neutral
"Rush Limbaugh receiving the medal after decades of deplorable, disgusting behavior and lies was unacceptable.

Thank God President Biden has restored honor to the Presidential Medal of Freedom after Donald Trump perverted it. https://t.co/NhTWb9wbsy",2025-01-05 12:24:41+00:00,rush limbaugh receiving the medal after decades of deplorable disgusting behavior and lies was unacceptable thank god president biden has restored honor to the presidential medal of freedom after donald trump perverted it,Positive
"15 Days Before Leaving, Joe Biden Makes a Bold Move with Israel, Shocking Donald Trump
https://t.co/HwZiCVwqXf

By Ek Jhalak English via Dailyhunt",2025-01-05 12:24:37+00:00,days before leaving joe biden makes a bold move with israel shocking donald trump by ek jhalak english via dailyhunt,Neutral
"""In November alone, the federal government ran a deficit of $366.8 billion — nearly 20% higher than at the same time last year.

Astounding, since the economy is growing and tax receipts should be strong enough to push deficits lower.""
https://t.co/SuHbN3CGnu",2025-01-05 12:24:25+00:00,in november alone the federal government ran a deficit of billion nearly higher than at the same time last year astounding since the economy is growing and tax receipts should be strong enough to push deficits lower,Neutral
https://t.co/1DUvNYGVej,2025-01-05 12:24:25+00:00,,Neutral
@WhiteHouse Why he not put Donald J. Trump,2025-01-05 12:24:16+00:00,why he not put donald j trump,Positive
"Trump calls for Judge Merchan disbarment | Alex Miller &amp; Tom Howell Jr., The Washington Times

President-elect Donald Trump on Saturday demanded that the New York judge overseeing his business-record case be disbarred.

Mr. Trump’s ire was directed at New York State Supreme Court… https://t.co/fQyNFswwL1 https://t.co/qFqzZI06Lw",2025-01-05 12:24:15+00:00,trump calls for judge merchan disbarment alex miller amp tom howell jr the washington times presidentelect donald trump on saturday demanded that the new york judge overseeing his businessrecord case be disbarred mr trumps ire was directed at new york state supreme court,Positive
Linda Melanie Trump Lindo Donald Trump e Lindo Filho Barron Trump . Quê AMORES 💞💓💓 https://t.co/o80tiZJDgm,2025-01-05 12:24:13+00:00,linda melanie trump lindo donald trump e lindo filho barron trump qu amores,Positive
Liz Cheney rips Donald Trump to pieces https://t.co/OE5HJGqI5F via @PalmerReport,2025-01-05 12:24:03+00:00,liz cheney rips donald trump to pieces via,Positive
@DanNwomeh Dan show us pictures of 30 completed smart schools in different locations. Why would Donald trump not call us shithole people when we settle for propaganda and lies.,2025-01-05 12:24:02+00:00,dan show us pictures of completed smart schools in different locations why would donald trump not call us shithole people when we settle for propaganda and lies,Positive
"Renowned Nigerian pastor and gospel artist, Nathaniel Bassey, has been invited to minister at the Presidential Inaugural Prayer Breakfast for U.S. President-elect Donald Trump. The event is scheduled to take place on January 20, 2025, in Washington, D.C.

Hosted by Reverend… https://t.co/MnxQFRRbss https://t.co/jfAxPRMGuS",2025-01-05 12:23:56+00:00,renowned nigerian pastor and gospel artist nathaniel bassey has been invited to minister at the presidential inaugural prayer breakfast for us presidentelect donald trump the event is scheduled to take place on january in washington dc hosted by reverend,Positive
"@simonateba Grok thinks you are quite mad. 

Here are the women that Donald Trump has nominated to his cabinet:

1. **Susie Wiles** - Chief of Staff.
2. **Elise Stefanik** - UN Ambassador.
3. **Kristi Noem** - Secretary of Homeland Security.
4. **Tulsi Gabbard** - Director of National… https://t.co/U3hVJDdc9G",2025-01-05 12:23:56+00:00,grok thinks you are quite mad here are the women that donald trump has nominated to his cabinet susie wiles chief of staff elise stefanik un ambassador kristi noem secretary of homeland security tulsi gabbard director of national,Positive
"@itsFoxCrypto $MUDO is leading the memecoin revolution with its unique narrative and strong backing by an alliance between Elon Musk and Donald Trump.

🏆 X: @Mudocoinsol
🏆 CA: FPkwvXdbiE1ZWCj7SKj9ixVqgFZKNttzzKNSWVPD6XsK
🏆 TG: @ MUDOcoin",2025-01-05 12:23:49+00:00,mudo is leading the memecoin revolution with its unique narrative and strong backing by an alliance between elon musk and donald trump x ca fpkwvxdbiezwcjskjixvqgfzknttzzknswvpdxsk tg mudocoin,Neutral
"@JDunlap1974 A federal judge dismissed the Jan. 6 election interference case against Donald Trump hours after federal prosecutors filed a motion to dismiss both that case and the Mar-a-Lago documents cases against Trump.
Judge Tanya Chutkan of the U.S. District Court for the District of… https://t.co/UT1mcxOCia",2025-01-05 12:23:40+00:00,a federal judge dismissed the jan election interference case against donald trump hours after federal prosecutors filed a motion to dismiss both that case and the maralago documents cases against trump judge tanya chutkan of the us district court for the district of,Neutral
"Happy Sunday, everyone ! Tommrow is January 6th, 2025.
Donald J. Trump is going to be certified as the next president of America 🇺🇸 🙄 👏 🫡. As I have overshadowed, our government ( 2009-2016, -2020-2024) finally, With a diamond sparkling ✨️ smile.. ( get them out). https://t.co/3HrCPQsSdP",2025-01-05 12:23:31+00:00,happy sunday everyone tommrow is january th donald j trump is going to be certified as the next president of america as i have overshadowed our government finally with a diamond sparkling smile get them out,Positive
Donald Trump Praises House Speaker Amid Ukraine Aid Bill Passage https://t.co/wUju1Wbx1h,2025-01-05 12:23:29+00:00,donald trump praises house speaker amid ukraine aid bill passage,Positive
@harryjsisson It’s a meeting of the ‘Donald Trump kicked our asses’ club. 😂😂😂,2025-01-05 12:23:29+00:00,its a meeting of the donald trump kicked our asses club,Positive
"President-Elect's Statements on New Orleans Attack and Border Concerns

MESA, Ariz. (https://t.co/vHRrFGhgj4) --President-elect Donald Trump made statements linking the New Orleans attack to border security, despite the...
#Politics
https://t.co/i54uQTcevM",2025-01-05 12:23:17+00:00,presidentelects statements on new orleans attack and border concerns mesa ariz presidentelect donald trump made statements linking the new orleans attack to border security despite the,Positive
@DC_Draino ❤️❤️❤️🇺🇸🇺🇸🇺🇸!45-47! PRESIDENT DONALD JOHN TRUMP IS THE PRESIDENT OF THE PEOPLE!🇺🇸🇺🇸🇺🇸❤️❤❤️,2025-01-05 12:23:08+00:00,president donald john trump is the president of the people,Positive
"@TrueFactsStated Convicted Felon 
Constitutional law violator 
Donald J Trump belonged in prison before the Election",2025-01-05 12:23:07+00:00,convicted felon constitutional law violator donald j trump belonged in prison before the election,Positive
Trump Haters FREAK As Donald Unveils New MAGA Hat With Brutal Message Be... https://t.co/cSJcg5VzgX via @YouTube President Trump should make sure This Hat is on Every Congress Critter's Desk on the first Day of the new Congressional Session!,2025-01-05 12:23:03+00:00,trump haters freak as donald unveils new maga hat with brutal message be via president trump should make sure this hat is on every congress critters desk on the first day of the new congressional session,Positive
"@elonmusk What a bunch of foul devils running our country 
We must correct this broken justice and righteousness should have a military take back of our duly elected president DONALD J TRUMP
WE WANT THESE CORRUPT USURPERS!!! How fucked up letting an illegal gov take over for 4 fucking year",2025-01-05 12:23:02+00:00,what a bunch of foul devils running our country we must correct this broken justice and righteousness should have a military take back of our duly elected president donald j trump we want these corrupt usurpers how fucked up letting an illegal gov take over for fucking year,Negative
"... Mientras en Qatar han comenzado las conversaciones indirectas entre Israel y Hamás, la inminente llegada de Donald Trump a la Casa Blanca y la difusión de un vídeo de un rehén están reavivando la esperanza...",2025-01-05 12:23:01+00:00,mientras en qatar han comenzado las conversaciones indirectas entre israel y hams la inminente llegada de donald trump a la casa blanca y la difusin de un vdeo de un rehn estn reavivando la esperanza,Neutral
"@atensnut For Donald Trump fans, this shirt is the best choice to wear on the occasion of his inauguration as the new president.
You will find it on Amazon through this link👇🏻🔥

https://t.co/9uFHsN7YtU",2025-01-05 12:22:57+00:00,for donald trump fans this shirt is the best choice to wear on the occasion of his inauguration as the new president you will find it on amazon through this link,Positive
@powerag23389173 @reitschuster Das ist natürlich einerseits gut aber andererseits schlecht da Donald Trump ja seit Jahren schon negativ geframed wird vom ÖRR. Sie werden sowas berichten wie; Das Aufeinandertreffen der Rechtspopulisten / Extremisten . Irgendwie sowas wird daraus gemacht 100 pro.,2025-01-05 12:22:54+00:00,das ist natrlich einerseits gut aber andererseits schlecht da donald trump ja seit jahren schon negativ geframed wird vom rr sie werden sowas berichten wie das aufeinandertreffen der rechtspopulisten extremisten irgendwie sowas wird daraus gemacht pro,Neutral
"it's simple:
#BoycottApple .@Apple 
#BoycottMeta .@facebook .@instagram 
#BoycottMusk .@elonmusk .@X .@SpaceX .@Tesla 

https://t.co/BKDYrzXJBw via @HDblog",2025-01-05 12:22:54+00:00,its simple via,Neutral
"@HowleyReporter @realDonaldTrump I'm waiting to see what happens tomorrow, January 6, which is also Epiphany and the day Kamala Harris certifies the election of Donald Trump. What will happen?",2025-01-05 12:22:54+00:00,im waiting to see what happens tomorrow january which is also epiphany and the day kamala harris certifies the election of donald trump what will happen,Positive
"A cartoonista Ann Telnaes demitiu-se do ‘The Washington Post’ depois de o jornal ter recusado a publicação de uma caricatura satírica que mostrava vários líderes dos media a bajularem o futuro Presidente dos Estados Unidos, Donald Trump.

Sabe mais: https://t.co/rmzwPs0N9S https://t.co/O5TwLax56H",2025-01-05 12:22:51+00:00,a cartoonista ann telnaes demitiuse do the washington post depois de o jornal ter recusado a publicao de uma caricatura satrica que mostrava vrios lderes dos media a bajularem o futuro presidente dos estados unidos donald trump sabe mais,Neutral
"To #MAGACultMorons idiots of the worst kind! 🚫🙏🏿4 First Lady Donald 34felon trump! 
UH-OH: Elon jokes about being ""unofficial"" President https://t.co/oItGsvtOUy via @YouTube

Sucking #magaidiots #MAGAtMorons #MAGAVERSE #RepublicansAreAlwaysTheProblem #democratsneedtostepitup100",2025-01-05 12:22:50+00:00,to idiots of the worst kind first lady donald felon trump uhoh elon jokes about being unofficial president via sucking,Neutral
@Momwhit @MtnViewsCO That's what makes him extremely dangerous working anywhere close to the White House! Donald Trump has worked this thing to perfection and there's no flaw in the operation except for this wildly dangerous cancer!,2025-01-05 12:22:48+00:00,thats what makes him extremely dangerous working anywhere close to the white house donald trump has worked this thing to perfection and theres no flaw in the operation except for this wildly dangerous cancer,Neutral
"2 UGLY NAZI GIORGIA MELONI &amp; DONALD TRUMP ARE MAKING NAZI SEX IN MAR-A-LAGO, TALKING ABOUT ALL BRIBES GIORGIA MELONI GETS FROM ELON MUSK, BRIBES THAT JUST MADE HER BUY A VILLA OF 3 MLNS, PAID ALL CASH &amp; NOT TO PLAN SOMETHING BOUT CECILIA SALA. MELONI &amp; TRUMP=EVA BRAUN AND HITLER! https://t.co/HhXl49aJrw",2025-01-05 12:22:37+00:00,ugly nazi giorgia meloni amp donald trump are making nazi sex in maralago talking about all bribes giorgia meloni gets from elon musk bribes that just made her buy a villa of mlns paid all cash amp not to plan something bout cecilia sala meloni amp trumpeva braun and hitler,Positive
"He didn’t so back off from attempting negative and dishonest remarks about a good 
and honest judge. 

Stop your stupid remarks. 

Merchan did not interfere with 2024 election.  You should be sued for defamation of Character and with Donald Trump who put you up to it.  

——- https://t.co/LLEDwhBJlS",2025-01-05 12:22:36+00:00,he didnt so back off from attempting negative and dishonest remarks about a good and honest judge stop your stupid remarks merchan did not interfere with election you should be sued for defamation of character and with donald trump who put you up to it,Positive
"🚨 BREAKING NEWS 🚨

Local billionaire Tim Apple only donates a measly $1M to Donald Trump's inauguration.

Ngl, feels like a very small amount for Timmy lol. https://t.co/OCd2vG8Pfa https://t.co/3Ykt0VwKQL",2025-01-05 12:22:36+00:00,breaking news local billionaire tim apple only donates a measly m to donald trumps inauguration ngl feels like a very small amount for timmy lol,Positive
"DONALD TRUMP WILL ATTACK AMERICA:

I can't write for him to do it.  When he does, all of America  🇺🇸 will behave as shocked 😲!

Voters will act disappointed,  appear to be dismayed, but the PUTIN Plan all along was to get Trump back in to complete the destruction.
@CNN @ABC @DNC https://t.co/PhurmoLA3u",2025-01-05 12:22:35+00:00,donald trump will attack america i cant write for him to do it when he does all of america will behave as shocked voters will act disappointed appear to be dismayed but the putin plan all along was to get trump back in to complete the destruction,Positive
"Donald Trump’s Inaugural Prayer Breakfast: Nathaniel Bassey Will Perform Live 
 https://t.co/Dp9fYEUaDO",2025-01-05 12:22:34+00:00,donald trumps inaugural prayer breakfast nathaniel bassey will perform live,Positive
BLESSINGS FROM OUR PRESIDENT SIR DONALD TRUMP 🙏🏼🇺🇸 https://t.co/gucwdm6PnD,2025-01-05 12:22:34+00:00,blessings from our president sir donald trump,Positive
@TomCottonAR Didn’t Donald Trump give the Medal of Freedom to opioid addict Rush Limbaugh?,2025-01-05 12:22:26+00:00,didnt donald trump give the medal of freedom to opioid addict rush limbaugh,Positive
"@Ireoluwaaaa Donald Trump was officially convicted of rape last week. So your pastor is knowingly ministering for a rapist, at the very least. Of course we won't talk about his racism. What would Christ think of that?",2025-01-05 12:22:16+00:00,donald trump was officially convicted of rape last week so your pastor is knowingly ministering for a rapist at the very least of course we wont talk about his racism what would christ think of that,Neutral
"@TexasRepublic71 ❤️❤️❤️GOD BLESS PRESIDENT DONALD JOHN TRUMP!❤️❤️❤️

GOD BLESS AMERICA!

YES! JESUS CHRIST IS THE KING!",2025-01-05 12:22:06+00:00,god bless president donald john trump god bless america yes jesus christ is the king,Positive
President Biden sticks it to Donald Trump https://t.co/iKh94SfTPZ via @PalmerReport,2025-01-05 12:22:06+00:00,president biden sticks it to donald trump via,Neutral
"NEW: Donald Trump will get the peaceful Jan. 6 he denied Democrats four years ago. 

But the quiet belies a simmering tension over the fate of Jan. 6 defendants and efforts to ensure the violence/danger that day posed is not forgotten.

https://t.co/IQSR3FP4dc https://t.co/SNsCzPBvuk",2025-01-05 12:22:04+00:00,new donald trump will get the peaceful jan he denied democrats four years ago but the quiet belies a simmering tension over the fate of jan defendants and efforts to ensure the violencedanger that day posed is not forgotten,Positive
"Groenlandia, la isla objeto de deseo de Donald Trump https://t.co/VmKBUKqvcM a través de @ABC_Mundo",2025-01-05 12:22:02+00:00,groenlandia la isla objeto de deseo de donald trump a travs de,Neutral
El sorpresivo viaje de Giorgia Meloni a Florida para pedir ayuda a Donald Trump por esta razón https://t.co/6IbEo4UCue,2025-01-05 12:22:00+00:00,el sorpresivo viaje de giorgia meloni a florida para pedir ayuda a donald trump por esta razn,Neutral
"@justdave89now FDT Oval Sticker 4 Pack 5"" x 3"" - Fuck Donald Trump | #ad
https://t.co/6HsNUm6N5h",2025-01-05 12:22:00+00:00,fdt oval sticker pack x fuck donald trump,Positive
@SUBRATA30016572 President Donald J Trump. 👍Definitely 💯%,2025-01-05 12:21:54+00:00,president donald j trump definitely,Neutral
"@realDonaldTrump and Ronald Reagan were right. The Panama Canal should be American for reasons of strategy and economics. @TheNatlInterest 
https://t.co/oB0CJWB2n8",2025-01-05 12:21:49+00:00,and ronald reagan were right the panama canal should be american for reasons of strategy and economics,Positive
"@ddale8 @MarshallCohen @YahyaGhazala @ddale8,  thank you for confirming that Donald Trump hasn't lied a single time in 2 months.",2025-01-05 12:21:44+00:00,thank you for confirming that donald trump hasnt lied a single time in months,Positive
@elonmusk God Bless this man and thank God for Donald Trump. We need courageous men and women,2025-01-05 12:21:43+00:00,god bless this man and thank god for donald trump we need courageous men and women,Positive
"Between Oct. 1 and Trump’s January inaugural, the Bidenistas are on track to spend $2 trillion, or 30%, of the annual budget they proposed.
https://t.co/IsdtxOo072",2025-01-05 12:21:40+00:00,between oct and trumps january inaugural the bidenistas are on track to spend trillion or of the annual budget they proposed,Neutral
"Read ""Donald Trump’s quiet Jan. 6"" on SmartNews: https://t.co/Di94Ban0eb #SmartNews",2025-01-05 12:21:23+00:00,read donald trumps quiet jan on smartnews,Positive
"🔴 En Toute Vérité - @AlexDevecchio

🗣️ ""L'élection de Donald Trump est décisive concernant l'avenir des pays du Sud global"" : @briceculturier 

https://t.co/x65tr20O8N https://t.co/AvuJI0yBJ6",2025-01-05 12:21:14+00:00,en toute vrit llection de donald trump est dcisive concernant lavenir des pays du sud global,Neutral
"Donald Trump launches bizarrely unhinged public attack on his own appointee, gives something away https://t.co/LysZUJMzf2 via @PalmerReport",2025-01-05 12:21:12+00:00,donald trump launches bizarrely unhinged public attack on his own appointee gives something away via,Positive
@Mikester1954 @DisavowTrump20 Donald Trump do NOT shop her. A cowardly man did.,2025-01-05 12:21:10+00:00,donald trump do not shop her a cowardly man did,Positive
"@GrandpaDennisP the label bothers Trump much more than a penalty. We'll hear him whine for four years.  Reality TV guy not even worth a fine or penalty.  Donald's only concern is appearance/pretence.
Donald Trump will hold the title of ''convicted felon'' for the rest of his life.",2025-01-05 12:21:07+00:00,the label bothers trump much more than a penalty well hear him whine for four years reality tv guy not even worth a fine or penalty donalds only concern is appearancepretence donald trump will hold the title of convicted felon for the rest of his life,Positive
@cspanwj Lynn/ ma - Answer this question CSPAN Would your company or any of these companies that are giving money to Donald Trump hire a 34 count convicted felon to run their company ? How about hiring a bank robber to run the treasury ? Seems possible under a Republican regime,2025-01-05 12:20:59+00:00,lynn ma answer this question cspan would your company or any of these companies that are giving money to donald trump hire a count convicted felon to run their company how about hiring a bank robber to run the treasury seems possible under a republican regime,Positive
"@realDonaldTrump has been ordered to appear in court before the inauguration.

The New York court will deliver its verdict on Donald Trump in the case of bribing a porn actress on January 10. The politician is expected to receive “probation.”

And all this just 10 days before the… https://t.co/WBe4hWhB0g https://t.co/RXmUCB0wfh",2025-01-05 12:20:49+00:00,has been ordered to appear in court before the inauguration the new york court will deliver its verdict on donald trump in the case of bribing a porn actress on january the politician is expected to receive probation and all this just days before the,Positive
"@DschlopesIsBack For Donald Trump fans, this shirt is the best choice to wear on the occasion of his inauguration as the new president.
You will find it on Amazon through this link👇🏻🔥

https://t.co/9uFHsN7YtU",2025-01-05 12:20:48+00:00,for donald trump fans this shirt is the best choice to wear on the occasion of his inauguration as the new president you will find it on amazon through this link,Positive
"@GadSaad For Donald Trump fans, this shirt is the best choice to wear on the occasion of his inauguration as the new president.
You will find it on Amazon through this link👇🏻🔥

https://t.co/9uFHsN7YtU",2025-01-05 12:20:39+00:00,for donald trump fans this shirt is the best choice to wear on the occasion of his inauguration as the new president you will find it on amazon through this link,Positive
"Ukraine , Israël, Chine… Comment Donald Trump veut façonner son monde

https://t.co/ugc6FVvK62   k.o.n.a.r   Trump 👺

https://t.co/c1myYDShbu

Actualités à la une
https://t.co/FOCoQaaiEO",2025-01-05 12:20:36+00:00,ukraine isral chine comment donald trump veut faonner son monde konar trump actualits la une,Neutral
"@IvankaNews_ This is the democratic right of Donald Trump to Prosecute any one irrespective of his/her gender, age or position in the past if found guilty",2025-01-05 12:20:34+00:00,this is the democratic right of donald trump to prosecute any one irrespective of hisher gender age or position in the past if found guilty,Positive
"@Sassafrass_84 For Donald Trump fans, this shirt is the best choice to wear on the occasion of his inauguration as the new president.
You will find it on Amazon through this link👇🏻🔥

https://t.co/9uFHsN7YtU",2025-01-05 12:20:31+00:00,for donald trump fans this shirt is the best choice to wear on the occasion of his inauguration as the new president you will find it on amazon through this link,Positive
Een dappere en heldere reactie van Liz Cheney op Donald Trump. https://t.co/uva9LEOTeH,2025-01-05 12:20:23+00:00,een dappere en heldere reactie van liz cheney op donald trump,Positive
"@teslaownersSV For Donald Trump fans, this shirt is the best choice to wear on the occasion of his inauguration as the new president.
You will find it on Amazon through this link👇🏻🔥

https://t.co/9uFHsN7YtU",2025-01-05 12:20:21+00:00,for donald trump fans this shirt is the best choice to wear on the occasion of his inauguration as the new president you will find it on amazon through this link,Positive
"@theapril29th I am already very disappointed with President Musk and his inability to rein in his resident  court jester, Donald J. Trump. With great power comes great responsibility. Time to muzzle the clown !",2025-01-05 12:20:20+00:00,i am already very disappointed with president musk and his inability to rein in his resident court jester donald j trump with great power comes great responsibility time to muzzle the clown,Positive
@TrumpDailyPosts Canada loves President Donald Trump..please help us,2025-01-05 12:20:15+00:00,canada loves president donald trumpplease help us,Positive
@dreamy12122 He did his job by protecting the elected officials during the attack on the capital that Donald Trump initiated.,2025-01-05 12:20:12+00:00,he did his job by protecting the elected officials during the attack on the capital that donald trump initiated,Positive
@inthe1500s i’m just gonna believe if cause these hoes are sooo iconic like wdym you survived two world wars and donald trump https://t.co/YEJuRaI5OE,2025-01-05 12:20:12+00:00,im just gonna believe if cause these hoes are sooo iconic like wdym you survived two world wars and donald trump,Positive
